# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 150 px
# Width averaged: 15 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(14,37), abs_start=(19,37)
#   870 cm⁻¹: align=(14,34), abs_start=(19,34)
#   880 cm⁻¹: align=(14,34), abs_start=(19,34)
#   890 cm⁻¹: align=(11,29), abs_start=(16,29)
#   900 cm⁻¹: align=(9,28), abs_start=(14,28)
#   911 cm⁻¹: align=(17,39), abs_start=(22,39)
#   920 cm⁻¹: align=(5,40), abs_start=(10,40)
#   930 cm⁻¹: align=(4,38), abs_start=(9,38)
#   941 cm⁻¹: align=(3,39), abs_start=(8,39)
#   950 cm⁻¹: align=(3,39), abs_start=(8,39)
#   960 cm⁻¹: align=(2,31), abs_start=(7,31)
#   970 cm⁻¹: align=(7,24), abs_start=(12,24)
#   980 cm⁻¹: align=(8,38), abs_start=(13,38)
#   991 cm⁻¹: align=(11,38), abs_start=(16,38)
#   1000 cm⁻¹: align=(15,42), abs_start=(20,42)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
107,2.036013,5.230693,6.223920,1.698560,4.517787,1.841240,4.841940,4.173247,4.640140,3.713653,2.027040,2.354007,4.790833,3.953380,3.911060
108,2.034980,5.238653,6.210353,1.690273,4.510820,1.847067,4.842500,4.174300,4.670113,3.735987,2.043107,2.377020,4.788747,3.933800,3.930200
109,2.023840,5.249040,6.215920,1.695867,4.514380,1.845033,4.838093,4.177847,4.680273,3.703773,2.028167,2.355100,4.803133,3.932060,3.912407
110,2.036347,5.215040,6.190633,1.690880,4.534447,1.826447,4.842487,4.174467,4.650993,3.714307,2.018920,2.366633,4.789973,3.926593,3.933453
111,2.028407,5.238953,6.209700,1.682453,4.525813,1.846193,4.843833,4.167473,4.669300,3.718633,2.023960,2.367573,4.796133,3.936007,3.943260
112,2.035313,5.240113,6.200260,1.684007,4.519573,1.861033,4.850273,4.182787,4.679013,3.743060,2.029733,2.382327,4.835373,3.954680,3.922713
113,2.047693,5.252473,6.210680,1.688720,4.522940,1.837613,4.853760,4.202147,4.687640,3.750540,2.042567,2.357353,4.830660,3.939167,3.934507
114,2.040900,5.256713,6.233127,1.693000,4.530793,1.841760,4.868787,4.188207,4.671567,3.735173,2.035920,2.375913,4.796647,3.937680,3.931320
115,2.027153,5.254613,6.222520,1.695927,4.497980,1.840680,4.853927,4.195673,4.691180,3.732013,2.036533,2.363400,4.796700,3.928273,3.926413
116,2.029667,5.233420,6.257760,1.694900,4.524700,1.848400,4.845233,4.169680,4.671767,3.722347,2.031627,2.364780,4.800987,3.943987,3.934647
117,2.027220,5.251407,6.273740,1.708013,4.541140,1.837973,4.862413,4.208100,4.693453,3.711893,2.028887,2.370153,4.823320,3.960100,3.920867
118,2.041140,5.258047,6.257887,1.704920,4.530180,1.847667,4.841053,4.179607,4.678327,3.749720,2.036480,2.368580,4.809453,3.964027,3.945853
119,2.036273,5.257833,6.245060,1.717373,4.525147,1.832433,4.864147,4.193427,4.674500,3.726767,2.030393,2.375447,4.824653,3.959460,3.947233
120,2.027267,5.244913,6.246193,1.701607,4.536853,1.868980,4.853653,4.167987,4.726387,3.752653,2.042300,2.373233,4.825813,3.937633,3.928693
121,2.048787,5.250207,6.250280,1.685987,4.523947,1.857847,4.824000,4.196340,4.679907,3.738293,2.034607,2.354460,4.801673,3.919380,3.923787
122,2.031633,5.277253,6.260267,1.684880,4.534367,1.855307,4.857300,4.183127,4.682360,3.724320,2.038940,2.356720,4.812160,3.949013,3.926840
123,2.040540,5.278927,6.257867,1.703027,4.525753,1.857367,4.856920,4.182487,4.715953,3.735967,2.035953,2.375733,4.814187,3.934040,3.934507
124,2.027160,5.272767,6.264320,1.706820,4.519020,1.856500,4.849387,4.178500,4.692600,3.748640,2.048027,2.377273,4.834080,3.966313,3.967700
125,2.031100,5.277627,6.269427,1.703460,4.543733,1.843500,4.861673,4.200500,4.704653,3.730673,2.051920,2.374933,4.861553,3.962667,3.970260
126,2.054533,5.290047,6.262153,1.704953,4.520267,1.858773,4.852627,4.166900,4.716753,3.742387,2.044213,2.385087,4.837453,3.968900,3.949673
127,2.036187,5.261187,6.248400,1.704313,4.525340,1.855760,4.838460,4.183527,4.691687,3.718720,2.043493,2.368680,4.817040,3.943407,3.923800
128,2.045867,5.256507,6.220187,1.702247,4.535333,1.860193,4.825020,4.178427,4.696940,3.699567,2.024527,2.351067,4.783573,3.915127,3.920753
129,2.028120,5.242680,6.245440,1.694947,4.527240,1.848407,4.849753,4.191720,4.680967,3.702140,2.020827,2.344647,4.776660,3.927580,3.929533
130,2.029687,5.262653,6.235913,1.703207,4.560600,1.862860,4.881233,4.201767,4.700193,3.734233,2.040680,2.375767,4.819953,3.948867,3.935640
131,2.031107,5.245727,6.239540,1.700500,4.540180,1.854673,4.894167,4.210720,4.737133,3.766080,2.038027,2.382733,4.839947,3.949587,3.941973
132,2.035300,5.261900,6.224593,1.699407,4.546600,1.866453,4.889800,4.207707,4.724520,3.758973,2.042647,2.361207,4.826520,3.959093,3.920040
133,2.042347,5.252880,6.228513,1.698753,4.553340,1.860913,4.876987,4.193593,4.704313,3.737953,2.032613,2.367333,4.815467,3.933933,3.926233
134,2.043560,5.235200,6.237847,1.690820,4.526627,1.855140,4.858540,4.186387,4.681393,3.755847,2.036867,2.377373,4.816727,3.948093,3.940073
135,2.050353,5.258427,6.223113,1.698127,4.528020,1.851973,4.869493,4.194353,4.700640,3.729513,2.037573,2.374193,4.835547,3.955667,3.954887
136,2.041687,5.254713,6.245667,1.707180,4.524707,1.861727,4.879793,4.199773,4.724647,3.747720,2.047160,2.359360,4.814687,3.943433,3.922607
137,2.045560,5.247040,6.232260,1.689660,4.514927,1.856580,4.887127,4.198993,4.742227,3.751587,2.034793,2.364060,4.814253,3.946593,3.930067
138,2.043727,5.247353,6.215913,1.696880,4.523653,1.856967,4.865287,4.176880,4.714393,3.771067,2.036220,2.373760,4.807040,3.945307,3.941087
139,2.038087,5.245400,6.209220,1.711300,4.509140,1.846853,4.855407,4.184773,4.689627,3.740427,2.031633,2.369053,4.804653,3.964273,3.955373
140,2.041347,5.223540,6.189933,1.700853,4.522260,1.846207,4.856227,4.196040,4.718920,3.746747,2.046653,2.358500,4.824000,3.950460,3.955140
141,2.040087,5.225767,6.204380,1.687100,4.517980,1.845020,4.827040,4.158447,4.668520,3.732287,2.056000,2.387593,4.840107,3.943467,3.941693
142,2.044347,5.232300,6.210733,1.687600,4.505987,1.841887,4.828987,4.144353,4.658493,3.714980,2.036267,2.386167,4.806840,3.951380,3.936660
143,2.037460,5.254533,6.233480,1.689100,4.497487,1.849753,4.867900,4.167280,4.680607,3.724400,2.030520,2.370387,4.810193,3.942527,3.942427
144,2.046633,5.277780,6.255453,1.683940,4.520093,1.850187,4.868727,4.198787,4.688807,3.743593,2.029907,2.366033,4.841253,3.954147,3.941167
