# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 120 px
# Width averaged: 10 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(21,40), abs_start=(26,40)
#   870 cm⁻¹: align=(20,39), abs_start=(25,39)
#   880 cm⁻¹: align=(18,38), abs_start=(23,38)
#   890 cm⁻¹: align=(18,37), abs_start=(23,37)
#   900 cm⁻¹: align=(10,39), abs_start=(15,39)
#   911 cm⁻¹: align=(26,43), abs_start=(31,43)
#   920 cm⁻¹: align=(13,46), abs_start=(18,46)
#   930 cm⁻¹: align=(11,46), abs_start=(16,46)
#   941 cm⁻¹: align=(11,46), abs_start=(16,46)
#   950 cm⁻¹: align=(13,47), abs_start=(18,47)
#   960 cm⁻¹: align=(10,36), abs_start=(15,36)
#   970 cm⁻¹: align=(13,30), abs_start=(18,30)
#   980 cm⁻¹: align=(14,43), abs_start=(19,43)
#   991 cm⁻¹: align=(21,43), abs_start=(26,43)
#   1000 cm⁻¹: align=(23,44), abs_start=(28,44)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
60,3.295480,8.788250,10.458900,2.748590,7.650920,3.014020,8.204250,7.145550,7.873610,6.547470,3.807970,4.437890,7.486390,5.535400,5.836780
61,3.314960,8.827080,10.348800,2.710830,7.724380,3.017950,8.202940,7.135390,7.933850,6.572010,3.834510,4.461240,7.530180,5.506450,5.842030
62,3.339060,8.808700,10.211600,2.702710,7.774510,3.047800,8.210250,7.116670,7.993680,6.604080,3.835240,4.479790,7.526070,5.524940,5.778380
63,3.378940,8.808950,10.069570,2.713630,7.864090,3.034530,8.220210,7.147960,8.037290,6.624390,3.803230,4.461060,7.479350,5.452490,5.788690
64,3.400030,8.772170,9.981470,2.733600,7.883060,3.019020,8.152200,7.148410,8.025590,6.560240,3.758450,4.449400,7.497920,5.382240,5.814870
65,3.406340,8.674300,9.929670,2.748420,7.943940,3.026520,8.072750,7.146830,8.010750,6.510770,3.772060,4.469530,7.478260,5.471190,5.818570
66,3.412860,8.613140,9.813010,2.762810,8.009350,3.003120,8.071610,7.148230,7.965410,6.514340,3.807540,4.463650,7.424270,5.525410,5.838840
67,3.426790,8.537410,9.782550,2.791330,7.988120,2.974550,8.065690,7.192790,7.967430,6.496140,3.779370,4.417540,7.411180,5.439890,5.879190
68,3.399890,8.477650,9.765550,2.793950,7.979640,2.969410,8.047530,7.196310,7.949830,6.471250,3.815560,4.327310,7.428990,5.416110,5.856000
69,3.404380,8.433010,9.799580,2.821840,7.973440,2.969060,8.099730,7.216450,7.910750,6.505430,3.819560,4.353210,7.468410,5.438730,5.830080
70,3.407100,8.421240,9.858080,2.835160,7.930070,2.974840,8.103310,7.213530,7.911910,6.492770,3.810200,4.388840,7.427870,5.407570,5.839030
71,3.371830,8.370450,9.966260,2.835720,7.834880,2.956160,8.115900,7.142560,7.854430,6.444410,3.761100,4.341470,7.416960,5.375750,5.795290
72,3.344130,8.299080,9.974100,2.791090,7.798160,2.962320,8.099550,7.084340,7.781600,6.425480,3.760010,4.340860,7.394820,5.445080,5.772180
73,3.304470,8.281320,9.980730,2.799340,7.828420,3.003340,8.157310,7.115740,7.845750,6.503250,3.804170,4.392130,7.341910,5.496680,5.758730
74,3.319970,8.372890,10.043980,2.803210,7.812920,3.031480,8.209650,7.149600,7.942280,6.541420,3.800480,4.437610,7.354840,5.516720,5.763240
75,3.300180,8.417440,10.140890,2.781610,7.775450,3.006680,8.199830,7.102520,7.835410,6.493760,3.755280,4.428640,7.354120,5.469530,5.780750
76,3.254970,8.402070,10.135130,2.762170,7.766050,3.002200,8.111700,7.051300,7.842150,6.434580,3.752030,4.370800,7.369310,5.482290,5.776330
77,3.254390,8.374010,10.076620,2.734690,7.806410,3.012930,8.071560,7.072760,7.872320,6.436130,3.762760,4.341820,7.418590,5.561090,5.813740
78,3.222040,8.382790,9.975250,2.724370,7.823110,3.000830,8.040000,7.080660,7.856240,6.502950,3.785550,4.347340,7.438600,5.600690,5.774710
79,3.263370,8.478590,9.925250,2.751180,7.868870,2.989670,8.070270,7.098320,7.911330,6.523770,3.798800,4.383320,7.482300,5.496430,5.806490
80,3.256610,8.481110,10.010560,2.732790,7.906580,2.987360,8.043460,7.121350,7.957350,6.490410,3.787710,4.449190,7.493770,5.394580,5.745930
81,3.239690,8.425400,9.916590,2.753960,7.871750,2.961110,8.011360,7.105310,7.879600,6.499590,3.802200,4.412820,7.433250,5.457270,5.698860
82,3.280280,8.510290,9.866440,2.782600,7.881090,2.954160,8.006020,7.116350,7.842670,6.507140,3.790090,4.408400,7.383860,5.446640,5.728280
83,3.250910,8.506640,9.886150,2.778940,7.830890,2.933020,7.969960,7.092230,7.810600,6.423830,3.747690,4.394940,7.366980,5.440480,5.786330
84,3.256350,8.437360,9.860210,2.769870,7.821480,2.942050,7.954650,7.046310,7.750090,6.394580,3.731560,4.361510,7.339870,5.506430,5.751170
85,3.279960,8.427740,9.819030,2.805260,7.861340,2.935950,8.032990,7.045270,7.841380,6.452590,3.749760,4.365960,7.365470,5.493420,5.782690
86,3.295620,8.419620,9.847490,2.799530,7.833370,2.949330,8.034090,7.093370,7.899470,6.473280,3.770880,4.402070,7.386350,5.452630,5.774200
87,3.301750,8.392230,9.889640,2.813190,7.839970,2.961580,8.048590,7.069560,7.890400,6.508570,3.818860,4.381860,7.406230,5.464070,5.751750
88,3.309880,8.458930,9.955660,2.830150,7.857410,2.987690,8.101780,7.122110,7.959610,6.538420,3.801550,4.400930,7.394880,5.484590,5.740260
89,3.318520,8.407250,10.067940,2.801490,7.765360,2.956710,8.054620,7.070610,7.906230,6.460090,3.734480,4.376880,7.400120,5.408310,5.748510
90,3.297130,8.377710,10.052910,2.791590,7.767180,2.965130,8.050220,7.035110,7.794980,6.421420,3.745290,4.326460,7.351980,5.423550,5.747310
91,3.283540,8.400750,10.046500,2.783880,7.804700,2.971510,8.076120,7.084150,7.872290,6.450100,3.761170,4.319830,7.340300,5.439930,5.746540
92,3.307770,8.443040,10.093170,2.776810,7.784370,2.995320,8.055990,7.116970,7.866690,6.458290,3.773800,4.349930,7.412800,5.444210,5.727430
93,3.313550,8.486730,10.158400,2.780030,7.776100,2.957630,8.088940,7.112990,7.865010,6.455950,3.747280,4.382300,7.399230,5.383590,5.789370
94,3.285660,8.440840,10.164460,2.756410,7.723870,2.964930,8.014460,7.088670,7.772650,6.359730,3.696100,4.343120,7.349110,5.366970,5.809590
95,3.259020,8.389250,10.040040,2.749430,7.717500,2.946070,7.963100,7.045650,7.725760,6.357940,3.716880,4.306730,7.331290,5.479930,5.833870
96,3.247660,8.391790,9.982550,2.738800,7.760830,2.929380,7.981510,7.056240,7.780850,6.397780,3.722480,4.355320,7.341240,5.466100,5.840530
97,3.240320,8.389910,9.929110,2.745980,7.772710,2.946810,7.940990,7.057310,7.809420,6.428770,3.721670,4.350840,7.427660,5.388900,5.857940
98,3.255080,8.448950,9.920250,2.753710,7.820040,2.941630,8.036470,7.075750,7.827910,6.433380,3.773430,4.359410,7.459430,5.325310,5.840270
99,3.288600,8.507040,9.945780,2.781580,7.826410,2.957470,8.005010,7.072430,7.849620,6.456690,3.788360,4.415730,7.475380,5.351340,5.839600
100,3.276360,8.478440,9.923960,2.747720,7.803720,2.962800,8.040980,7.059400,7.812530,6.478860,3.810980,4.430000,7.482960,5.383780,5.823200
101,3.277400,8.444960,9.853160,2.771050,7.844930,2.967480,8.053460,7.074080,7.860550,6.512670,3.832100,4.406370,7.476250,5.363640,5.788100
102,3.313980,8.513350,9.855870,2.804570,7.853620,2.987600,8.076700,7.124420,7.946580,6.532710,3.829550,4.436570,7.462670,5.257220,5.798700
103,3.313550,8.510580,9.934490,2.780270,7.837540,2.990660,8.044620,7.097870,7.899610,6.452350,3.760500,4.410840,7.401220,5.230600,5.823420
104,3.300470,8.448040,9.868690,2.779140,7.832010,2.982770,8.027610,7.044460,7.805780,6.379840,3.719710,4.294330,7.404490,5.386180,5.812230
105,3.284820,8.402060,9.832230,2.763180,7.856470,2.974360,8.040260,7.058370,7.808330,6.409270,3.729960,4.364560,7.396630,5.492890,5.834630
106,3.303720,8.422570,9.846220,2.763570,7.867720,3.001630,8.073060,7.090660,7.846880,6.448280,3.740040,4.395780,7.437410,5.432870,5.856220
107,3.318270,8.453110,9.928360,2.782880,7.858770,2.988250,8.097370,7.112180,7.880740,6.448670,3.749850,4.431500,7.420640,5.368810,5.795500
108,3.316920,8.442820,9.953420,2.768010,7.851530,2.986150,8.083290,7.133580,7.911140,6.490390,3.787630,4.400630,7.393470,5.333540,5.758510
109,3.332760,8.469570,9.989930,2.781440,7.868790,3.009400,8.143230,7.149830,7.957800,6.546580,3.824870,4.390600,7.389770,5.315940,5.732100
110,3.334010,8.504700,10.022750,2.782360,7.858780,2.988600,8.142610,7.168820,7.967750,6.566640,3.857100,4.396670,7.374520,5.255290,5.729920
111,3.334560,8.492070,10.066730,2.764110,7.805200,2.963690,8.089020,7.138820,7.949600,6.537160,3.825310,4.412690,7.351810,5.266800,5.721630
112,3.293030,8.434640,10.021880,2.754300,7.778890,2.954330,8.013500,7.105350,7.856200,6.478340,3.780250,4.371840,7.326740,5.368530,5.788270
113,3.287130,8.437080,9.989150,2.757970,7.781190,2.938310,7.966040,7.040960,7.812340,6.410490,3.723990,4.363210,7.338260,5.419720,5.887010
114,3.292900,8.446200,9.950820,2.774550,7.838690,2.946680,7.960500,7.040850,7.827950,6.415390,3.744670,4.359950,7.428900,5.466540,5.915070
115,3.293960,8.478070,9.956130,2.769730,7.861760,2.970530,8.041600,7.091800,7.887430,6.457840,3.780810,4.380010,7.428280,5.496200,5.909070
116,3.309890,8.501310,9.997820,2.779030,7.886980,2.975150,8.081880,7.137010,7.915510,6.524270,3.788490,4.387670,7.464500,5.409870,5.892210
117,3.287990,8.467910,9.983750,2.778420,7.849770,2.970120,8.070300,7.112470,7.925650,6.534200,3.805040,4.440140,7.471040,5.365680,5.814990
118,3.297950,8.467570,9.952220,2.784690,7.872670,2.975090,8.076280,7.136110,7.915720,6.496580,3.815000,4.379140,7.426180,5.333770,5.815090
119,3.272040,8.453310,9.955290,2.769110,7.848570,2.983800,8.128980,7.141090,7.889110,6.523210,3.852740,4.396640,7.448370,5.329810,5.789160
